Firm,Ticker,R&D ($) ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guodian Technology & Environment Group Corp Ltd,1296 HK Equity,,,,,0.93%,1.07%,1.04%,0.66%,0.63%,0.81%,0.81%,1.07%,1.80%
Inox Wind Ltd,INXW IN Equity,,,,,,,,,0.00%,0.00%,,0.00%,
Nordex SE,NDX1 GR Equity,,,,,,,,4.71%,4.25%,3.57%,3.08%,2.44%,1.00%
Siemens Gamesa Renewable Energy SA,SGRE SM Equity,,1.57%,1.16%,0.08%,0.04%,0.05%,0.04%,1.13%,1.41%,1.39%,0.91%,0.68%,
Sinovel Wind Group Co Ltd,601558 CH Equity,,,,,,4.55%,0.40%,3.68%,4.52%,1.95%,1.02%,5.86%,4.70%
Suzlon Energy Ltd,SUEL IN Equity,,,,0.08%,0.22%,0.56%,0.76%,0.64%,0.76%,1.03%,0.78%,0.83%,
Senvion SA,SEN GR Equity,,,,,,,,,,,,0.00%,3.09%
Vestas Wind Systems A/S,VWS DC Equity,,2.03%,2.42%,2.55%,1.97%,1.81%,2.17%,3.48%,3.53%,4.04%,3.08%,2.51%,2.22%
Xiangtan Electric Manufacturing Co Ltd,600416 CH Equity,,,,,0.81%,0.94%,0.64%,1.59%,1.98%,2.66%,2.18%,2.32%,6.66%
Xinjiang Goldwind Science & Technology Co Ltd,2208 HK Equity,,,,1.02%,3.95%,0.54%,0.56%,2.23%,2.09%,2.25%,2.38%,5.22%,2.87%
Sum,,,1.53%,1.42%,1.12%,0.96%,1.19%,1.07%,2.18%,2.32%,2.41%,1.99%,2.27%,1.92%
