Row ID,Firm Name,Location,Public/Private,Ticker,Note
1,Vestas,Denmark,,,OEM
2,Gamesa,Spain,,,OEM
3,Enercon,Germany,,,
4,Suzlon,India,,,OEM
5,LM Glasfiber,Denmark,,,Supplier
6,Molded Fiberglass,United States,,,Supplier to GE
7,Nordex ,Germany,,,OEM
8,Polymatin Composites,Netherlands,,,OEM
9,Siemens,Germany,,,OEM
10,TPI Composites,United States,,,Supplier to GE
11,Knight and Carver,United States,,,Supplier
12,Enercon,Germany,,,
13,Sinovel,China,,,
14,Acciona,Spain,,,
15,Goldwind,China,,,
16,DongFang,China,,,
17,Mitsubishi,Japan,,,
18,MM Composite,United States,,,
19,GE Renewable Energy,United States,,,
20,LM Wind Power,Denmark,,,
21,Energetx Composites,United States,,,
22,Energy Composites Corporation,United States,,,
23,Global Blade Technology ,United States,,,
24,MFG Wind,United States,,,
25,Wetzel Blade,United States,,,
